Module,Sub Module,Feature,Feature Description,Type
General,Login Page,FR-LOGIN-001,Validate SAP Account Number Username and Password when user clicks Login,Existing
General,Login Page,FR-LOGIN-002,Authenticate user against backend API,Existing
General,Login Page,FR-LOGIN-003,Redirect user to WMS Main Menu on successful login,Existing
General,Login Page,FR-LOGIN-004,Display error message on failed login (Invalid credentials Inactive user SAP connectivity issues),Existing
General,Home Page ,FR-HOME-001,Display Home Page after successful login based on user authorization,Existing
General,Home Page ,FR-HOME-002,"Display header info (  logged-in user, connected database)",Existing
General,Home Page ,FR-HOME-003,Provide navigation tiles to modules (Master Data Purchasing Outbound Deliveries Production Inventory Printing Reports Exporting),Existing
General,Home Page ,FR-HOME-004,Navigate to selected module when user selects a tile,Existing
General,Home Page ,FR-HOME-005,Provide menu actions for Sync Data and Logout,Existing
General,Home Page ,FR-HOME-006,Trigger data synchronization and display last sync timestamp when Sync Data is selected,Existing
General,Home Page ,FR-HOME-007,End user session and redirect to Login Page on Logout,Existing
Master data,Master Data Menu,FR-MD-001,Provide Master Data menu accessible from Home Page,Existing
Master data,Master Data Menu,FR-MD-002,"Display tiles for Items Barcode Manager , Warehouses ,and Suppliers",Existing
Master data,Master Data Menu,FR-MD-003,Navigate to selected master data screen when user selects a tile,Existing
Master data,Master Data Menu,FR-MD-004,Provide Back action to return to previous screen,Existing
Master data,Items Barcode Manager,FR-BCM-001,Allow user to select an item (Related to WMS) and view its associated barcodes,Existing
Master data,Items Barcode Manager,FR-BCM-002,Allow user to select a Unit of Measure (UoM) for barcode entry,Existing
Master data,Items Barcode Manager,FR-BCM-003,Allow user to add a new barcode for the selected item and UoM,Existing
Master data,Items Barcode Manager,FR-BCM-004,Allow user to edit an existing barcode for an item,Existing
Master data,Items Barcode Manager,FR-BCM-005,Allow user to delete an existing barcode that is no longer needed,Existing
Master data,Items Barcode Manager,FR-BCM-006,Display all barcode records for the selected item including multiple barcodes,Existing
Master data,Warehouses,FR-WH-001,Allow user to select a warehouse retrieved from SAP B1 (Related to WMS),Existing
Master data,Warehouses,FR-WH-002,Restrict warehouse list to warehouses assigned to the logged-in user,Existing
Master data,Warehouses,FR-WH-003,Display selected warehouse details in read- only format (Warehouse Code and Warehouse Name),Existing
Master data,Warehouses,FR-WH-004,Provide access to Transactions Report and In-Warehouse Report,Existing
Master data,Suppliers,FR-SUP-001,Allow user to select a supplier retrieved from SAP B1 (Related to WMS),Existing
Master data,Suppliers,FR-SUP-002,"Display selected supplier details in readonly format (Supplier Code, Supplier Name, and Email)",Existing
Purchasing,Purchasing Menu,FR-PUR-001,"Display tiles (View Open PO , Create PO ,Goods Receipt PO, Goods Return ,Draft GRPO Documents, Draft Purchase Orders)",Existing
Purchasing,Purchasing Menu,FR-PUR-002,Navigate to selected purchasing screen when user selects an option,Existing
Purchasing,View Open PO,FR-VPO-001,Allow user to filter open purchase orders by date ,Existing
Purchasing,View Open PO,FR-VPO-002,Retrieve and display open purchase orders (those related to the  default warehouse of the signed in user) when user clicks Filter,Existing
Purchasing,View Open PO,FR-VPO-003,"Allow user to group the list by No Grouping , Group by Supplier , or Group by Date",Existing
Purchasing,View Open PO,FR-VPO-004,"Display PO header information (PO Number , Supplier Name , Document Date)",Existing
Purchasing,View Open PO,FR-VPO-005,"Allow user to expand a PO to view line details (Item Code,  Item Name.  Open Quantity,  Delivery Date) only lines whose status is Open",Existing
Purchasing,View Open PO,FR-VPO-006,Provide To GRPO action to open GRPO creation screen for a selected PO,Existing
Purchasing,View Open PO,FR-VPO-007,Auto-load selected PO lines into GRPO screen with zero quantity by default,Existing
Purchasing,Create Purchase Order,FR-CPO-001,Allow user to select Supplier( Related to WMS) and enter Supplier Reference Number,Existing
Purchasing,Create Purchase Order,FR-CPO-002,Allow user to enter Document Date and Required Date,Existing
Purchasing,Create Purchase Order,FR-CPO-003,Allow user to select  Warehouse from DDL (Related to WMS and the default of the signed in user),Existing
Purchasing,Create Purchase Order,FR-CPO-004,"Allow user to add items using Scan Item (manual entry ,search , or camera scan)",Existing
Purchasing,Create Purchase Order,FR-CPO-005,"Display purchase order lines in a table (Barcode ,Item Code ,Item Name ,Quantity, Price, UOM ( list of all UOM related to the item))",Existing
Purchasing,Create Purchase Order,FR-CPO-006,Allow user to delete a row in PO lines,Existing
Purchasing,Create Purchase Order,FR-CPO-007,Allow user to Submit the purchase order,Existing
Purchasing,Create Purchase Order,FR-CPO-008,Allow user to Save as Draft for later retrieval,Existing
Purchasing,Goods Receipt PO (GRPO),FR-GRPO-001,Allow user to create a Goods Receipt PO (GRPO) from the WMS mobile app,Existing
Purchasing,Goods Receipt PO (GRPO),FR-GRPO-002,Allow user to select a supplier (WMS-related suppliers only),Existing
Purchasing,Goods Receipt PO (GRPO),FR-GRPO-003,Display open Purchase Orders for the selected supplier filtered by the logged-in user’s default/assigned WMS warehouses,Existing
Purchasing,Goods Receipt PO (GRPO),FR-GRPO-004,Allow user to select a base Purchase Order (PO) to create a GRPO,Existing
